,"(32, 32)","(64, 64)","(128, 128)","(256, 256)","(512, 512)","(1024, 1024)","(2048, 2048)","(4096, 4096)","(8192, 8192)"
dataset,1024,4096,16384,65536,262144,1048576,4194304,16777216,67108864
local.isce2.data.complex,5.0205,5.223792,10.016666,19.470583,43.091459,115.9385,315.56175,1095.866042,3218.297292
local.rslc.L.A.HH.complex,1.674291,0.48625,2.38575,4.219958,10.4065,30.865292,96.960875,365.357333,1401.994458
s3.rslc.L.A.HH.complex,3938.669417,6767.551584,14495.894708,29571.9875,58944.828667,117938.190083,236259.918167,483283.259458,137654.293458
